"Time,Operation,Status,Latitude,Longitude,Altitude,Heading,Speed,Intent deviation,Intent altitude,Intent speed,Deconfliction Level"
"1726150128.8210025,BAW28K  -rodolphe02,None,51.477023179710855,-0.5255749551100957,1912.6321839080458,270.3,193.02099533437018,0,1493.551724137931,192.02954898911355,None"
"1726150133.5437453,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150133.5437453,UAE41   -rodolphe02,None,51.46507657314578,-0.37704633866359905,893.3218390804598,269.64,160.0116640746501,0,1418.4778325123152,158.00933125972008,None"
"1726150133.5437453,BAW28K  -rodolphe02,None,51.477023179710855,-0.5255749551100957,1912.6321839080458,270.3,193.02099533437018,0,1493.551724137931,192.02954898911355,None"
"1726150138.6478753,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150143.5033371,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150148.4634643,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150153.4185812,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150158.4522414,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150163.7139647,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150163.7139647,BAW28K  -rodolphe02,None,51.4788,-0.5789,2544.5862068965516,274.16,234.64230171073098,0,2544.5862068965516,234.64230171073098,None"
"1726150168.7204432,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150168.7204432,BAW28K  -rodolphe02,None,51.47919375821316,-0.5875996523081266,2731.4499178981937,274.16,234.64230171073098,0,2544.5862068965516,234.64230171073098,None"
"1726150174.1571462,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150174.1571462,BAW28K  -rodolphe02,None,51.4796,-0.5956,2970.0049261083745,274.09,238.6275272161742,0,2544.5862068965516,234.64230171073098,None"
"1726150174.1571462,JAL43   -rodolphe02,None,51.4653,-0.3113,1668.7241379310344,270.0,164.01632970451013,0,1668.7241379310344,164.01632970451013,None"
"1726150178.7947943,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150178.7947943,BAW28K  -rodolphe02,None,51.48,-0.6047,3195.226600985222,274.03,241.62130637636085,0,2544.5862068965516,234.64230171073098,None"
"1726150178.7947943,JAL43   -rodolphe02,None,51.4652,-0.3174,1618.6748768472905,270.0,164.01632970451013,0,1668.7241379310344,164.01632970451013,None"
"1726150183.91843,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150183.91843,JAL43   -rodolphe02,None,51.4652,-0.3233,1543.6009852216748,269.65,164.01632970451013,0,1668.7241379310344,164.01632970451013,None"
"1726150183.91843,BAW28K  -rodolphe02,None,51.48039279984274,-0.6136600989970402,3382.090311986864,274.03,241.62130637636085,0,2544.5862068965516,234.64230171073098,None"
"1726150183.91843,BAW125  -rodolphe02,None,51.4773,-0.4795,717.7881773399015,267.94,167.12674961119754,0,717.7881773399015,167.12674961119754,None"
"1726150188.8529372,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150188.8529372,JAL43   -rodolphe02,None,51.4652,-0.3297,1468.527093596059,269.65,164.01632970451013,0,1668.7241379310344,164.01632970451013,None"
"1726150188.8529372,BAW28K  -rodolphe02,None,51.48039279984274,-0.6136600989970402,3382.090311986864,274.03,241.62130637636085,0,2544.5862068965516,234.64230171073098,None"
"1726150188.8529372,BAW125  -rodolphe02,None,51.47716074926359,-0.4857085061190129,904.6518883415436,267.94,167.12674961119754,0,717.7881773399015,167.12674961119754,None"
"1726150193.999904,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150193.999904,JAL43   -rodolphe02,None,51.465176645717975,-0.33579517967089734,1399.0689655172414,269.65,164.01632970451013,0,1668.7241379310344,164.01632970451013,None"
"1726150193.999904,BAW125  -rodolphe02,None,51.47716074926359,-0.4857085061190129,904.6518883415436,267.94,167.12674961119754,0,717.7881773399015,167.12674961119754,None"
"1726150198.7657917,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150198.7657917,JAL43   -rodolphe02,None,51.465176645717975,-0.33579517967089734,1399.0689655172414,269.65,164.01632970451013,0,1668.7241379310344,164.01632970451013,None"
"1726150203.6805587,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150208.7008395,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150208.7008395,BAW125  -rodolphe02,None,51.4771,-0.5106,1618.6748768472905,269.35,175.0194401244168,0,1618.6748768472905,175.0194401244168,None"
"1726150208.7008395,JAL43   -rodolphe02,None,51.4651,-0.3536,1168.231527093596,269.65,164.01632970451013,0,1168.231527093596,164.01632970451013,None"
"1726150213.7101905,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
"1726150213.7101905,BAW125  -rodolphe02,None,51.4771,-0.5186,1743.7980295566501,269.69,183.00933125972008,0,1618.6748768472905,175.0194401244168,None"
"1726150213.7101905,JAL43   -rodolphe02,None,51.4651,-0.361,1118.1822660098521,269.65,164.01632970451013,0,1168.231527093596,164.01632970451013,None"
"1726150213.7101905,RJA111  -rodolphe02,None,51.4685,-0.467,0.0,90.0,0.0,0,0.0,0.0,None"
"1726150219.0412455,EVTOL1001-rodolphe02,None,51.46475,-0.48652,331.10236220499996,95.2734375,5.0,0,331.10236220499996,5.0,0"
