q1 loss,q2 loss,pi loss,alpha loss,alpha,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.33971295,2.0382776,1.2290887,7.987884,1.1934752,42.965107,4.192292,0,0.25606304,0.73333335,0.06666667,0.13333334,0.06666667,0.0,3.7969246,90.59798,-3.8071904,0.7549333,0.0,-4.5,-3.96903e-05,-0.062084235
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.15415095,0.92490566,0.31437448,10.888397,1.2240055,44.064198,5.581155,0,0.3464006,0.6,0.33333334,0.0,0.0,0.06666667,7.0676546,184.9812,0.10823274,4.693,0.0,-4.5,-0.00013920412,-0.0846279
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.1965337,1.1792022,0.31920198,11.016197,1.4360919,51.69931,5.7475266,0,0.36655283,0.6666667,0.13333334,0.0,0.06666667,0.13333334,7.7802014,240.4268,-5.638322,-1.0526,0.0,-4.5,-0.000100770165,-0.0856212
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.33425435,2.005526,0.68178785,7.9928775,1.2227491,44.018967,4.58703,0,0.29930845,0.6666667,0.06666667,0.0,0.2,0.06666667,3.848053,92.83994,-3.698294,0.8638667,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.14786743,0.8872045,0.38347754,9.240559,1.1879104,42.764774,4.9891787,0,0.30910292,0.53333336,0.0,0.0,0.06666667,0.4,5.7084317,161.61456,2.2126684,6.7880664,0.0,-4.5,-0.0035775856,-0.0718204
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.35136232,2.1081738,0.65164363,7.9928775,0.60784,21.88224,2.1629305,274,0.099862434,0.4,0.06666667,0.13333334,0.2,0.2,5.7775803,260.8038,-3.3030941,1.2590667,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.14725183,0.88351095,0.25922188,12.483732,1.5507433,55.82676,6.001629,0,0.43608013,0.6666667,0.13333334,0.0,0.0,0.2,8.310997,199.17381,0.05133102,4.648667,0.0,-4.5,-0.00030850852,-0.097027324
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.34441042,2.0664625,0.70640594,8.517908,0.9360361,33.6973,3.4803715,221,0.21347725,0.6,0.06666667,0.06666667,0.13333334,0.13333334,5.8547745,219.84534,-3.6048346,0.9614001,0.0,-4.5,-3.0823427e-05,-0.06620374
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.07560368,0.45362207,0.13344523,8.026707,0.9243419,33.27631,4.119156,151,0.1683468,0.46666667,0.06666667,0.0,0.0,0.46666667,3.8807325,93.60243,2.3903317,6.952733,0.0,-4.5,-1.5332724e-05,-0.062385976
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.26706663,1.6023998,0.69548064,7.9677067,1.1635551,41.887985,4.51346,0,0.2527057,0.53333336,0.2,0.06666667,0.13333334,0.06666667,3.646017,84.36555,-1.6372437,2.9247334,0.0,-4.5,-4.970714e-05,-0.061927415
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.15795778,0.94774663,0.4142666,10.526383,0.7796177,28.066238,4.854546,190,0.21488905,0.33333334,0.0,0.13333334,0.26666668,0.26666668,8.427512,401.52594,0.5962787,5.178133,0.0,-4.5,-4.0079758e-05,-0.08181422
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.1767279,1.0603675,0.34293443,10.4011,1.1985235,43.146847,4.4859653,0,0.26967865,0.6,0.2,0.0,0.06666667,0.13333334,7.070369,212.27676,-1.7527151,2.8297334,0.0,-4.5,-0.0016079849,-0.080840476
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.46949044,2.8169427,1.20789,7.9928775,1.1016536,39.65953,4.6942415,0,0.24771284,0.6,0.13333334,0.06666667,0.06666667,0.13333334,3.7941737,90.365364,-1.7184942,2.8436666,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.36836326,2.2101796,1.0647455,8.863159,1.2667637,45.603493,5.668704,160,0.29171827,0.6666667,0.06666667,0.06666667,0.06666667,0.13333334,4.7317686,114.53211,-1.7252302,2.8436666,0.0,-4.5,-9.693084e-06,-0.06888714
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.19092117,1.145527,0.3612342,11.145916,1.4893606,53.61698,6.056531,0,0.44177732,0.8,0.0,0.0,0.0,0.2,8.291541,290.48535,-2.002782,2.5839999,0.0,-4.5,-0.00015260285,-0.08662941
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.05925596,0.35553578,0.13073973,11.656751,1.4858594,53.49094,5.914212,0,0.44431368,0.73333335,0.0,0.13333334,0.06666667,0.06666667,8.341374,251.59662,1.8683748,6.4701333,0.0,-4.5,-0.0111587085,-0.09059977
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.4158506,2.4951036,0.9694804,7.9928775,1.2319142,44.34891,4.8482685,0,0.31531036,0.8,0.2,0.0,0.0,0.0,4.844499,153.87285,-5.8351607,-1.2730001,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.15850843,0.9510506,0.24037825,11.8208885,1.4173731,51.02543,5.421097,0,0.3555886,0.6,0.2,0.06666667,0.0,0.13333334,7.955645,205.82521,-3.6712492,0.92593336,0.0,-4.5,-0.0053069354,-0.0918755
