Time,Operation,Status,Latitude,Longitude,Altitude,Heading,Speed,Intent deviation,Intent altitude,Intent speed,Deconfliction Level
1726155143,UAS0-rodolphe02,None,51.4742577,-0.4353931,250,266.77,19,0,250,19,0
1726155143,DLH914  -rodolphe02,None,51.4652,-0.3446,1293.35468,270,142.0101089,0,1793.847291,158.0093313,None
1726155143,EVTOL1001-rodolphe02,None,51.47101,-0.47497,152.2598425,97.734375,30,0,158.8215223,6,0
1726155143,IBE31FB -rodolphe02,None,51.465,-0.4101,492.5665025,269.56,129.0241058,0,1218.280788,146.0147745,None
1726155143,RYR77JV -rodolphe02,None,51.4892,-0.5886,38029.51232,18.39,415.2410575,0,38029.51232,414.2884914,None
1726155143,UAL941  -rodolphe02,None,51.4905,-0.5688,3395.423645,285.64,181.7457232,0,968.0344828,171.1508554,None
1726155149,DLH914  -rodolphe02,None,51.4652,-0.35,1218.280788,269.59,141.0186625,0,1793.847291,158.0093313,None
1726155149,IBE31FB -rodolphe02,None,51.465,-0.4147,442.5172414,269.56,129.0241058,0,1218.280788,146.0147745,None
1726155149,EVTOL1001-rodolphe02,None,51.47082,-0.47388,155.5406824,90.3515625,31,0,158.8215223,6,0
1726155149,UAS0-rodolphe02,None,51.474208,-0.4368326,250,266.74,19,0,250,19,0
1726155149,RYR77JV -rodolphe02,None,51.4983,-0.5838,38029.51232,18.39,415.2410575,0,38029.51232,414.2884914,None
1726155149,UAL941  -rodolphe02,None,51.4916,-0.5756,3595.62069,285.64,181.7457232,0,968.0344828,171.1508554,None
1726155149,EUW5012 -rodolphe02,None,51.5054,-0.3344,16132.96059,268.57,360.1477449,0,16132.96059,360.1477449,None
1726155154,UAS0-rodolphe02,None,51.474208,-0.4368326,250,266.74,19,0,250,19,0
1726155154,IBE31FB -rodolphe02,None,51.46497696,-0.419494725,367.8045977,269.56,129.0241058,0,1218.280788,146.0147745,None
1726155154,UAL941  -rodolphe02,None,51.49273421,-0.582108031,3835.850575,285.64,181.7457232,0,968.0344828,171.1508554,None
1726155154,EVTOL1001-rodolphe02,None,51.47064,-0.47274,152.2598425,88.9453125,32,0,158.8215223,6,0
1726155154,DLH914  -rodolphe02,None,51.46517652,-0.355240503,1154.241379,269.59,141.0186625,0,1793.847291,158.0093313,None
1726155154,RYR77JV -rodolphe02,None,51.50742262,-0.578927099,38034.93103,18.39,415.2410575,0,38029.51232,414.2884914,None
1726155154,EUW5012 -rodolphe02,None,51.50519115,-0.34779168,16047.57471,268.57,360.1477449,0,16132.96059,360.1477449,None
1726155158,EVTOL1001-rodolphe02,None,51.47064,-0.47274,152.2598425,88.9453125,32,0,158.8215223,6,0
1726155158,UAS0-rodolphe02,None,51.4741807,-0.4376249,250,266.76,19,0,250,19,0
1726155158,IBE31FB -rodolphe02,None,51.46497696,-0.419494725,367.8045977,269.56,129.0241058,0,1218.280788,146.0147745,None
1726155158,UAL941  -rodolphe02,None,51.49273421,-0.582108031,3835.850575,285.64,181.7457232,0,968.0344828,171.1508554,None
1726155158,DLH914  -rodolphe02,None,51.46517652,-0.355240503,1154.241379,269.59,141.0186625,0,1793.847291,158.0093313,None
1726155158,RYR77JV -rodolphe02,None,51.50742262,-0.578927099,38034.93103,18.39,415.2410575,0,38029.51232,414.2884914,None
1726155158,EUW5012 -rodolphe02,None,51.50519115,-0.34779168,16047.57471,268.57,360.1477449,0,16132.96059,360.1477449,None
1726155163,UAS0-rodolphe02,None,51.4741807,-0.4376249,250,266.76,19,0,250,19,0
1726155163,IBE31FB -rodolphe02,None,51.465,-0.4254,317.3940887,269.56,131.0069984,0,1218.280788,146.0147745,None
1726155163,EVTOL1001-rodolphe02,None,51.47032,-0.47039,152.2598425,77.6953125,33,0,158.8215223,6,0
1726155168,UAS0-rodolphe02,None,51.474131,-0.4390642,250,266.76,19,0,250,19,0
1726155168,EVTOL1001-rodolphe02,None,51.47021,-0.46918,152.2598425,75.234375,33,0,158.8215223,6,0
1726155168,IBE31FB -rodolphe02,None,51.46497661,-0.430268412,242.681445,269.56,131.0069984,0,1218.280788,146.0147745,None
1726155168,EUW5012 -rodolphe02,None,51.5047,-0.3773,15857.68966,268.56,359.1368585,0,15857.68966,359.1368585,None
1726155173,EVTOL1001-rodolphe02,None,51.47021,-0.46918,152.2598425,75.234375,33,0,158.8215223,6,0
1726155173,UAS0-rodolphe02,None,51.4741086,-0.4397123,250,266.76,19,0,250,19,0
1726155173,IBE31FB -rodolphe02,None,51.46497661,-0.430268412,242.681445,269.56,131.0069984,0,1218.280788,146.0147745,None
1726155173,EUW5012 -rodolphe02,None,51.50449029,-0.390653827,15782.97701,268.56,359.1368585,0,15857.68966,359.1368585,None
1726155178,UAS0-rodolphe02,None,51.4740813,-0.440504,250,266.76,19,0,250,19,0
1726155178,EUW5012 -rodolphe02,None,51.50449029,-0.390653827,15782.97701,268.56,359.1368585,0,15857.68966,359.1368585,None
1726155178,EVTOL1001-rodolphe02,None,51.4701,-0.46675,177.8215223,74.53125,33,0,158.8215223,6,0
1726155183,UAS0-rodolphe02,None,51.4740589,-0.4411523,250,266.77,19,0,250,19,0
1726155183,EVTOL1001-rodolphe02,None,51.47011,-0.46554,205.8215223,73.4765625,33,0,158.8215223,6,0
1726155183,EUW5012 -rodolphe02,None,51.5042,-0.4243,15507.34483,268.88,359.0979782,0,15857.68966,359.1368585,None
1726155183,DLH914  -rodolphe02,None,51.4651,-0.3855,792.862069,270,143.0209953,0,792.862069,143.0209953,None
1726155183,IBE31FB -rodolphe02,None,51.4649,-0.4453,242.320197,269.56,131.0069984,0,242.320197,131.0069984,None
1726155183,ACA857  -rodolphe02,None,51.4776,-0.4846,792.862069,269.34,174.0279938,0,792.862069,174.0279938,None
1726155189,UAS0-rodolphe02,None,51.47404,-0.4419452,250,269.26,19,0,250,19,0
1726155189,EUW5012 -rodolphe02,None,51.50403674,-0.437653914,15432.63218,268.88,359.0979782,0,15857.68966,359.1368585,None
1726155189,DLH914  -rodolphe02,None,51.46509988,-0.390815041,718.1494253,270,143.0209953,0,792.862069,143.0209953,None
1726155189,EVTOL1001-rodolphe02,TA,51.47016,-0.46433,192.6981627,72.421875,33,0,158.8215223,6,1
