spline points,lon,lat
74,0.69784474,-0.9651167
75,0.7072421,-0.9662696
76,0.71645373,-0.96724784
77,0.72547466,-0.96804655
78,0.7342995,-0.9686607
79,0.7429228,-0.96908545
80,0.75133926,-0.9693158
81,0.75954354,-0.969347
82,0.7675306,-0.9691739
83,0.7752948,-0.96879184
84,0.782831,-0.96819574
85,0.79013383,-0.96738064
86,0.797198,-0.9663418
87,0.80401814,-0.9650741
88,0.8105891,-0.9635728
89,0.8169053,-0.9618329
90,0.8229616,-0.9598495
91,0.8287529,-0.95761764
92,0.8342734,-0.9551325
93,0.83951813,-0.952389
94,0.8444817,-0.9493824
95,0.8491587,-0.94610775
96,0.853544,-0.94256
97,0.8576323,-0.9387344
98,0.86141795,-0.9346259
99,0.8648959,-0.93022966
100,0.8680608,-0.9255409
101,0.8709596,-0.92054385
102,0.87364405,-0.9152301
103,0.87611645,-0.9096054
104,0.87837917,-0.9036753
105,0.8804343,-0.89744556
106,0.88228416,-0.8909218
107,0.88393104,-0.8841096
108,0.88537717,-0.8770148
109,0.8866248,-0.8696429
110,0.8876763,-0.8619997
111,0.8885337,-0.8540907
112,0.8891995,-0.84592164
113,0.8896758,-0.8374981
114,0.88996494,-0.8288259
115,0.8900691,-0.8199106
116,0.8899906,-0.8107578
117,0.88973176,-0.80137324
118,0.8892947,-0.7917626
119,0.88868177,-0.7819315
120,0.88789517,-0.7718856
121,0.8869372,-0.76163054
122,0.8858101,-0.75117195
123,0.8845162,-0.7405156
124,0.8830576,-0.729667
125,0.8814367,-0.7186319
126,0.8796557,-0.70741606
127,0.8777169,-0.6960249
128,0.8756225,-0.6844642
129,0.8733748,-0.67273974
130,0.87097603,-0.66085696
131,0.86842847,-0.6488216
132,0.8657344,-0.6366395
133,0.862896,-0.624316
134,0.8599157,-0.61185694
135,0.85679555,-0.59926796
136,0.8535379,-0.5865547
137,0.850145,-0.57372284
138,0.8466191,-0.560778
139,0.84296256,-0.5477259
140,0.8391775,-0.5345722
141,0.8352662,-0.5213225
142,0.831231,-0.50798243
143,0.82707405,-0.49455774
144,0.8227977,-0.48105398
145,0.8184042,-0.46747693
146,0.81389576,-0.4538322
147,0.8092747,-0.4401254
148,0.80454314,-0.4263623
149,0.79970354,-0.41254848
150,0.794758,-0.3986895
151,0.78970885,-0.38479125
152,0.78455836,-0.3708592
153,0.77930874,-0.35689914
154,0.77396226,-0.3429165
155,0.7685212,-0.3289172
156,0.76298785,-0.31490684
157,0.7573644,-0.30089086
158,0.75165313,-0.2868753
159,0.7458563,-0.2728656
160,0.73997617,-0.25886732
161,0.734015,-0.24488634
162,0.72797513,-0.23092812
163,0.7218586,-0.21699846
164,0.71566796,-0.20310289
165,0.7094052,-0.18924725
166,0.7030727,-0.17543703
167,0.69667274,-0.1616779
168,0.6902076,-0.14797562
169,0.68367946,-0.13433576
170,0.6770905,-0.12076396
171,0.67044324,-0.10726595
172,0.66373974,-0.09384751
173,0.6569823,-0.080514014
174,0.6501732,-0.06727141
175,0.6433146,-0.05412507
176,0.6364089,-0.041080832
177,0.6294583,-0.02814436
178,0.6224651,-0.015321255
179,0.6154314,-0.0026171207
180,0.6083597,0.009962261
181,0.6012521,0.022411168
182,0.59411085,0.034724236
183,0.58693826,0.046895623
184,0.5797366,0.05891961
185,0.5725081,0.07079065
186,0.56525505,0.08250308
187,0.5579797,0.09405112
188,0.5506842,0.10542917
189,0.54337096,0.11663163
190,0.5360422,0.12765288
191,0.5287001,0.13848722
192,0.521347,0.14912891
193,0.51398516,0.15957236
194,0.5066168,0.16981184
195,0.49924415,0.17984176
196,0.4918696,0.1896565
197,0.48449522,0.19925034
198,0.47712347,0.20861757
199,0.46975648,0.2177527
200,0.46239662,0.22664998
201,0.45493168,0.23548514
202,0.44725132,0.2444343
203,0.4393601,0.25349224
204,0.43126276,0.26265377
205,0.42296383,0.27191362
206,0.41446793,0.28126663
207,0.40577975,0.2907075
208,0.39690384,0.30023104
209,0.3878449,0.30983204
210,0.37860745,0.31950524
211,0.3691962,0.32924545
212,0.35961574,0.33904743
213,0.34987068,0.34890598
214,0.33996567,0.35881582
215,0.32990533,0.36877176
216,0.31969422,0.3787686
217,0.30933705,0.38880107
218,0.29883838,0.39886397
219,0.28820288,0.40895206
220,0.27743515,0.4190601
221,0.26653978,0.42918295
222,0.25552145,0.43931526
223,0.24438475,0.44945192
224,0.2331343,0.45958763
225,0.22177473,0.46971723
226,0.21031067,0.4798354
227,0.19874674,0.489937
228,0.1870875,0.5000168
229,0.1753377,0.51006955
230,0.16350186,0.52009004
231,0.1515846,0.530073
232,0.13959062,0.54001325
233,0.1275245,0.54990554
234,0.11539081,0.5597447
235,0.10319424,0.5695255
236,0.09093943,0.5792426
237,0.078630894,0.58889085
238,0.06627339,0.5984651
239,0.053871453,0.60796
240,0.04142973,0.6173704
241,0.028952867,0.6266911
242,0.016445398,0.6359168
243,0.0039120913,0.6450423
244,-0.008642644,0.65406245
245,-0.021213979,0.6629719
246,-0.033797324,0.6717655
