spline points,lon,lat
156,1.0102504,-0.5265336
157,1.0088118,-0.5138835
158,1.0072625,-0.50118387
159,1.0056019,-0.4884403
160,1.003829,-0.47565812
161,1.0019432,-0.46284282
162,0.99994385,-0.44999987
163,0.99783,-0.43713474
164,0.9956008,-0.42425293
165,0.99325573,-0.41135997
166,0.99079394,-0.3984611
167,0.98821455,-0.385562
168,0.9855169,-0.37266815
169,0.9827002,-0.35978484
170,0.97976375,-0.3469177
171,0.9767067,-0.33407217
172,0.97352827,-0.32125372
173,0.97022784,-0.3084678
174,0.96680444,-0.29571992
175,0.96325743,-0.2830155
176,0.959586,-0.27036
177,0.9557895,-0.25775903
178,0.95186704,-0.2452178
179,0.9478178,-0.23274189
180,0.94364125,-0.22033691
181,0.93933636,-0.20800829
182,0.93490255,-0.19576132
183,0.9303389,-0.18360168
184,0.9256448,-0.17153466
185,0.92081946,-0.1595658
186,0.915862,-0.14770073
187,0.9107718,-0.13594466
188,0.905548,-0.12430328
189,0.9001898,-0.11278188
190,0.8946966,-0.10138607
191,0.8890675,-0.09012121
192,0.8833017,-0.078992784
193,0.87739855,-0.068006456
194,0.8713572,-0.05716747
195,0.865177,-0.04648131
196,0.85885704,-0.03595358
197,0.8523966,-0.025589585
198,0.84579504,-0.015394986
199,0.8390514,-0.0053750873
200,0.83216494,0.004464753
201,0.8250518,0.0143341115
202,0.8176323,0.02444179
203,0.8099122,0.034780312
204,0.8018974,0.045342203
205,0.7935937,0.05611999
206,0.7850069,0.067106195
207,0.77614284,0.07829335
208,0.76700735,0.08967398
209,0.7576062,0.10124059
210,0.74794537,0.11298573
211,0.7380305,0.12490193
212,0.72786754,0.1369817
213,0.7174623,0.14921755
214,0.70682055,0.16160202
215,0.6959481,0.17412767
216,0.68485093,0.18678698
217,0.6735347,0.19957247
218,0.66200525,0.21247667
219,0.6502685,0.22549218
220,0.6383302,0.23861143
221,0.62619627,0.251827
222,0.6138724,0.26513138
223,0.6013645,0.27851707
224,0.58867836,0.2919767
225,0.57581985,0.3055027
226,0.5627948,0.31908765
227,0.54960895,0.33272403
228,0.5362682,0.3464044
229,0.5227784,0.36012128
230,0.50914526,0.37386715
231,0.49537468,0.38763466
232,0.48147252,0.40141618
233,0.46744457,0.41520432
234,0.4532966,0.42899162
235,0.43903458,0.44277054
236,0.4246642,0.45653364
237,0.4101913,0.47027346
238,0.3956218,0.4839825
239,0.38096145,0.4976533
240,0.36621606,0.5112784
241,0.3513915,0.5248503
242,0.33649358,0.53836155
243,0.32152814,0.5518046
244,0.3065009,0.5651721
245,0.2914179,0.5784565
246,0.2762848,0.59165025
247,0.26110744,0.6047461
248,0.24589169,0.61773634
249,0.23064339,0.6306136
250,0.21536827,0.64337045
251,0.20007223,0.6559993
252,0.18476117,0.6684928
253,0.1694408,0.68084335
254,0.15411687,0.6930436
255,0.13879544,0.705086
256,0.12348223,0.71696305
257,0.10818279,0.7286673
258,0.092903495,0.7401914
259,0.07764983,0.7515276
260,0.06242758,0.76266867
261,0.0472427,0.7736071
262,0.032100976,0.78433526
263,0.017008245,0.7948459
264,0.0019702315,0.8051313
265,-0.013006985,0.81518424
266,-0.027917922,0.82499707
267,-0.042756498,0.8345624
268,-0.057516992,0.84387267
269,-0.0721935,0.85292053
270,-0.08678037,0.86169845
271,-0.10127151,0.8701989
272,-0.11566132,0.8784144
273,-0.1299439,0.8863375
274,-0.14411342,0.89396083
275,-0.15816402,0.9012768
276,-0.17208987,0.90827787
277,-0.18588525,0.91495675
278,-0.19954425,0.9213059
279,-0.21306103,0.9273178
280,-0.22642976,0.93298507
281,-0.23964483,0.9383
282,-0.25270015,0.9432554
283,-0.26558977,0.9478436
284,-0.27830833,0.9520573
285,-0.29084975,0.9558889
286,-0.30320805,0.9593309
287,-0.31537753,0.9623759
288,-0.3273527,0.9650165
289,-0.339127,0.967245
290,-0.3506952,0.96905404
291,-0.36205155,0.97043616
292,-0.37318963,0.97138387
293,-0.3841042,0.9718898
294,-0.39478904,0.9719463
295,-0.40523845,0.97154593
296,-0.41544682,0.97068137
297,-0.42540795,0.9693451
298,-0.43511635,0.9675295
299,-0.44456583,0.96522707
300,-0.453751,0.9624305
301,-0.4628063,0.9590349
302,-0.4718688,0.9549496
303,-0.48093584,0.9501879
304,-0.4900049,0.94476354
305,-0.49907333,0.9386899
306,-0.5081386,0.9319805
307,-0.51719815,0.92464894
308,-0.5262494,0.9167087
309,-0.53528976,0.9081734
310,-0.54431665,0.8990564
311,-0.55332744,0.8893713
312,-0.56231964,0.8791316
313,-0.5712907,0.8683509
314,-0.5802379,0.85704273
315,-0.5891588,0.8452205
316,-0.5980507,0.83289784
317,-0.6069112,0.8200882
318,-0.61573756,0.8068052
319,-0.62452734,0.7930622
320,-0.6332778,0.77887297
321,-0.6419864,0.76425076
322,-0.65065074,0.7492093
323,-0.659268,0.733762
324,-0.66783583,0.71792245
325,-0.6763515,0.70170414
326,-0.6848125,0.6851207
327,-0.69321615,0.6681855
328,-0.70156,0.65091205
329,-0.70984143,0.633314
330,-0.7180579,0.6154049
331,-0.7262067,0.5971981
332,-0.7342854,0.57870734
333,-0.7422914,0.55994594
334,-0.7502221,0.5409275
