spline points,lon,lat
264,0.25055045,0.8558601
265,0.24137384,0.86513025
266,0.2321912,0.874178
267,0.2230041,0.8829967
268,0.21381432,0.8915792
269,0.20462352,0.89991856
270,0.19543344,0.908008
271,0.1862458,0.91584045
272,0.17706227,0.92340887
273,0.16788465,0.9307066
274,0.15871453,0.93772644
275,0.14955366,0.94446164
276,0.14040369,0.9509051
277,0.13126647,0.95705
278,0.12214357,0.96288925
279,0.11303669,0.9684161
280,0.10394764,0.9736235
281,0.09487814,0.9785045
282,0.085829735,0.98305225
283,0.07680434,0.9872596
284,0.06780338,0.9911199
285,0.05882883,0.994626
286,0.049882293,0.997771
287,0.040965557,1.0005479
288,0.032080233,1.00295
289,0.02322805,1.0049701
290,0.014410675,1.0066012
291,0.005629778,1.0078367
292,-0.0031126738,1.0086694
293,-0.01181525,1.0090925
294,-0.020476162,1.009099
295,-0.029093623,1.0086818
296,-0.037666023,1.0078342
297,-0.046191692,1.006549
298,-0.054668844,1.0048196
299,-0.06309569,1.0026388
300,-0.07147084,1.0
301,-0.07991896,0.9968101
302,-0.088562414,0.9929895
303,-0.09739527,0.9885504
304,-0.10641159,0.98350525
305,-0.11560542,0.97786623
306,-0.12497084,0.97164565
307,-0.1345019,0.9648557
308,-0.14419264,0.95750874
309,-0.15403715,0.94961697
310,-0.16402948,0.94119275
311,-0.17416368,0.9322483
312,-0.18443382,0.9227959
313,-0.19483396,0.9128478
314,-0.20535815,0.90241635
315,-0.21600045,0.89151376
316,-0.22675493,0.88015234
317,-0.23761566,0.8683443
318,-0.24857667,0.856102
319,-0.25963205,0.8434377
320,-0.2707758,0.8303636
321,-0.28200206,0.816892
322,-0.29330486,0.80303526
323,-0.30467823,0.78880554
324,-0.31611627,0.77421516
325,-0.327613,0.7592764
326,-0.33916253,0.74400157
327,-0.35075885,0.72840285
328,-0.36239612,0.7124926
329,-0.37406832,0.6962831
330,-0.3857695,0.67978656
331,-0.39749378,0.66301525
332,-0.40923518,0.64598155
333,-0.42098778,0.62869763
334,-0.43274564,0.6111758
335,-0.4445027,0.59342825
336,-0.45625323,0.57546747
337,-0.46799123,0.55730546
338,-0.47971064,0.53895473
339,-0.4914056,0.52042747
340,-0.5030702,0.50173587
341,-0.51469845,0.48289222
342,-0.5262844,0.4639089
343,-0.5378221,0.44479823
344,-0.5493058,0.42557222
345,-0.56072927,0.40624344
346,-0.57208675,0.386824
347,-0.5833723,0.36732614
348,-0.5945799,0.34776223
349,-0.6057036,0.3281446
350,-0.61673754,0.30848533
351,-0.6276757,0.28879684
352,-0.63851225,0.2690915
353,-0.6492411,0.2493813
354,-0.6598565,0.22967863
355,-0.67035234,0.20999587
356,-0.6807227,0.19034529
357,-0.6909618,0.170739
358,-0.70106345,0.15118945
359,-0.71102196,0.1317088
360,-0.72083116,0.11230928
361,-0.73048526,0.09300333
362,-0.73997825,0.073803246
363,-0.7493043,0.054721057
364,-0.7584573,0.035769224
365,-0.76743144,0.016960025
366,-0.7762207,-0.0016944408
367,-0.78481925,-0.020181894
368,-0.79322106,-0.0384897
369,-0.80142015,-0.056605816
370,-0.8094107,-0.074518204
371,-0.8171867,-0.09221423
372,-0.82474214,-0.109681726
373,-0.83207124,-0.12690854
374,-0.8391679,-0.14388216
375,-0.8460263,-0.16059065
376,-0.8526404,-0.17702138
377,-0.85900444,-0.1931622
378,-0.8651122,-0.20900106
379,-0.87095803,-0.22452545
380,-0.8765357,-0.23972309
381,-0.8818395,-0.2545818
382,-0.8868635,-0.26908922
383,-0.8916016,-0.28323317
384,-0.89604795,-0.29700136
385,-0.90019655,-0.3103814
386,-0.90404147,-0.32336116
387,-0.90757686,-0.33592832
388,-0.9107967,-0.34807062
389,-0.91369504,-0.35977566
390,-0.916266,-0.37103128
391,-0.9185037,-0.3818252
392,-0.920402,-0.39214528
393,-0.92195517,-0.40197897
394,-0.923157,-0.41131413
395,-0.9240018,-0.4201386
396,-0.9244836,-0.42843986
397,-0.92459637,-0.43620574
398,-0.92433417,-0.4434241
399,-0.9236911,-0.45008254
400,-0.92266136,-0.45616877
401,-0.9212272,-0.46174455
402,-0.9193797,-0.46688512
403,-0.9171257,-0.47159854
404,-0.91447186,-0.47589278
405,-0.911425,-0.47977597
406,-0.9079919,-0.48325604
407,-0.9041792,-0.48634112
408,-0.8999938,-0.4890392
409,-0.89544237,-0.49135837
410,-0.8905317,-0.4933066
411,-0.8852686,-0.49489197
412,-0.8796598,-0.4961225
413,-0.873712,-0.49700624
414,-0.867432,-0.49755123
415,-0.86082655,-0.4977655
416,-0.85390246,-0.4976571
417,-0.84666646,-0.49723405
418,-0.8391253,-0.4965044
419,-0.8312857,-0.49547616
420,-0.8231545,-0.49415743
421,-0.8147384,-0.49255618
422,-0.8060442,-0.49068052
423,-0.79707867,-0.4885384
424,-0.7878485,-0.48613796
425,-0.7783605,-0.48348713
426,-0.76862144,-0.48059404
427,-0.7586381,-0.47746667
428,-0.74841714,-0.47411308
429,-0.73796535,-0.47054133
430,-0.7272896,-0.46675944
431,-0.7163966,-0.4627754
432,-0.705293,-0.45859733
433,-0.6939857,-0.4542332
434,-0.68248135,-0.4496911
435,-0.6707868,-0.44497904
436,-0.6589088,-0.44010508
437,-0.64685404,-0.43507722
438,-0.63462937,-0.4299035
439,-0.62224144,-0.42459202
440,-0.6096971,-0.41915077
441,-0.5970031,-0.4135878
442,-0.58416617,-0.40791115
443,-0.5711931,-0.40212885
444,-0.55809057,-0.39624894
445,-0.5448655,-0.39027944
446,-0.53152454,-0.38422844
447,-0.5180744,-0.37810388
448,-0.5045219,-0.3719139
449,-0.49087384,-0.36566654
450,-0.4771369,-0.35936972
451,-0.46331796,-0.3530316
452,-0.44942367,-0.3466602
453,-0.4354608,-0.3402635
454,-0.42143613,-0.33384955
455,-0.40735644,-0.32742643
456,-0.39322847,-0.3210022
457,-0.37905896,-0.31458482
458,-0.3648547,-0.30818236
459,-0.35062248,-0.30180293
460,-0.3363691,-0.29545444
461,-0.32210112,-0.289145
462,-0.30782545,-0.28288263
463,-0.29354888,-0.2766754
464,-0.27927804,-0.2705313
465,-0.26501977,-0.26445842
466,-0.25078094,-0.25846475
467,-0.23656797,-0.2525583
468,-0.22238809,-0.2467472
469,-0.20824766,-0.24103944
470,-0.19415355,-0.23544307
471,-0.1801126,-0.22996615
472,-0.16613162,-0.22461666
473,-0.15221727,-0.21940267
474,-0.13837624,-0.21433224
475,-0.12461549,-0.20941336
476,-0.11094165,-0.2046541
477,-0.097361445,-0.20006245
478,-0.08388156,-0.19564655
479,-0.07050902,-0.19141433
480,-0.05725044,-0.18737394
481,-0.044112504,-0.18353328
482,-0.03110212,-0.17990053
483,-0.018226027,-0.1764836
484,-0.00549078,-0.17329052
485,0.0070964694,-0.17032951
486,0.019529462,-0.16760847
487,0.031801045,-0.16513544
488,0.043904483,-0.16291866
489,0.05583328,-0.16096583
490,0.06758034,-0.15928516
491,0.07913929,-0.15788457
492,0.09050304,-0.15677232
493,0.10166508,-0.1559563
494,0.11261839,-0.15544459
495,0.12335628,-0.15524518
496,0.13387209,-0.15536621
497,0.14415902,-0.15581566
498,0.15421039,-0.15660152
499,0.16401929,-0.15773189
