duration,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,reward,self-intersections
0.43357038,0.0,0.39697516,1.5879006,0.7403501,2.757439,0.60814,9.73024,2.32273,0.0,0.112495854,0.16666667,0.16666667,0.0,0.33333334,0.33333334,-6.507167,1.0
7.7832966,0.0,0.08465472,0.5079283,0.17495835,8.68704,0.5629981,20.267933,3.1946738,0.355,0.053672224,0.13333334,0.0,0.06666667,0.2,0.6,3.388467,1.0
0.46667838,0.0,0.2839512,1.1358048,0.3968114,4.8414683,0.74405545,11.904887,2.8674798,0.266,0.14734997,0.16666667,0.16666667,0.0,0.0,0.5,-6.5008335,1.0
0.4832592,0.0,0.64314085,2.5725634,1.096625,3.4432065,0.8046423,12.874277,2.9360886,0.0,0.1621368,0.16666667,0.16666667,0.0,0.16666667,0.5,2.4960003,1.0
0.40875793,0.0,0.53749454,2.6874726,1.2796693,3.8293252,0.7546611,18.866528,3.885764,0.0,0.17150033,0.3,0.1,0.1,0.1,0.4,1.2060003,1.0
0.58336115,0.0,0.169831,1.018986,0.25558576,5.360134,0.79245347,28.528324,3.0474997,0.263,0.1545264,0.46666667,0.13333334,0.2,0.0,0.2,2.037466,1.0
0.41932702,0.0,0.23324504,0.9329802,0.33272395,5.0508056,0.57681483,9.229037,2.4900825,0.271,0.22073227,0.5,0.16666667,0.16666667,0.0,0.16666667,-1.0201674,1.0
0.42878103,0.0,0.317413,1.587065,0.9492197,3.1848614,0.5717404,14.29351,2.7987304,0.0,0.14401731,0.6,0.0,0.0,0.1,0.3,7.8861,1.0
6.4775553,0.0,0.36301306,1.0890392,0.8589403,3.7073898,0.60448927,5.4404035,1.8612615,0.0,0.20610867,0.33333334,0.0,0.33333334,0.0,0.33333334,4.5680003,0.0
0.4176407,0.0,0.22043428,1.1021714,0.392997,4.386722,0.6509354,16.273386,2.2901728,0.327,0.14401874,0.3,0.2,0.1,0.0,0.4,1.1794006,1.0
0.5159247,0.0,0.15402102,0.6160841,0.24508883,4.249611,0.6085516,9.736826,2.208191,0.0,0.13167699,0.16666667,0.0,0.16666667,0.33333334,0.16666667,9.327667,1.0
7.6395054,0.0,0.37963477,1.8981738,0.8191922,4.1510253,0.78379196,19.594799,3.1069796,0.0,0.17219603,0.2,0.2,0.1,0.2,0.3,-0.57240003,1.0
0.56116724,0.0,0.45927143,2.2963572,0.82409173,4.4317107,0.85072494,21.268124,3.2356699,0.0,0.17481953,0.3,0.0,0.1,0.2,0.4,3.4326,1.0
0.44111538,2.0,0.493816,1.4814479,0.6781414,2.8276732,0.54216415,4.8794775,1.8347064,0.315,0.10963637,0.0,0.0,0.0,0.6666667,0.0,9.157333,0.0
